"","dpID","termID","tableID","termName","spatialRes","spatialDesc","timeRes","timeDesc","fullID"
"1","NEON.DOM.SIT.DP1.00003",1,3,"uid",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00001.003"
"2","NEON.DOM.SIT.DP1.00003",2,3,"domainID",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00002.003"
"3","NEON.DOM.SIT.DP1.00003",3,3,"siteID",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00003.003"
"4","NEON.DOM.SIT.DP1.00003",5,3,"date",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00005.003"
"5","NEON.DOM.SIT.DP1.00003",39,3,"mean",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00039.003"
"6","NEON.DOM.SIT.DP1.00003",40,3,"variance",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00040.003"
"7","NEON.DOM.SIT.DP1.00003",41,3,"min",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00041.003"
"8","NEON.DOM.SIT.DP1.00003",42,3,"max",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00042.003"
"9","NEON.DOM.SIT.DP1.00003",43,3,"identifier",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00043.003"
"10","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",1,"Tower level 1",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.001.001.00044.003"
"11","NEON.DOM.SIT.DP1.00003",1,3,"uid",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00001.003"
"12","NEON.DOM.SIT.DP1.00003",2,3,"domainID",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00002.003"
"13","NEON.DOM.SIT.DP1.00003",3,3,"siteID",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00003.003"
"14","NEON.DOM.SIT.DP1.00003",5,3,"date",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00005.003"
"15","NEON.DOM.SIT.DP1.00003",39,3,"mean",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00039.003"
"16","NEON.DOM.SIT.DP1.00003",40,3,"variance",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00040.003"
"17","NEON.DOM.SIT.DP1.00003",41,3,"min",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00041.003"
"18","NEON.DOM.SIT.DP1.00003",42,3,"max",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00042.003"
"19","NEON.DOM.SIT.DP1.00003",43,3,"identifier",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00043.003"
"20","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",1,"Tower level 1",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.001.001.00044.003"
"21","NEON.DOM.SIT.DP1.00003",1,3,"uid",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00001.003"
"22","NEON.DOM.SIT.DP1.00003",2,3,"domainID",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00002.003"
"23","NEON.DOM.SIT.DP1.00003",3,3,"siteID",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00003.003"
"24","NEON.DOM.SIT.DP1.00003",5,3,"date",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00005.003"
"25","NEON.DOM.SIT.DP1.00003",39,3,"mean",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00039.003"
"26","NEON.DOM.SIT.DP1.00003",40,3,"variance",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00040.003"
"27","NEON.DOM.SIT.DP1.00003",41,3,"min",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00041.003"
"28","NEON.DOM.SIT.DP1.00003",42,3,"max",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00042.003"
"29","NEON.DOM.SIT.DP1.00003",43,3,"identifier",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00043.003"
"30","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",2,"Tower level 2",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.002.001.00044.003"
"31","NEON.DOM.SIT.DP1.00003",1,3,"uid",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00001.003"
"32","NEON.DOM.SIT.DP1.00003",2,3,"domainID",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00002.003"
"33","NEON.DOM.SIT.DP1.00003",3,3,"siteID",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00003.003"
"34","NEON.DOM.SIT.DP1.00003",5,3,"date",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00005.003"
"35","NEON.DOM.SIT.DP1.00003",39,3,"mean",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00039.003"
"36","NEON.DOM.SIT.DP1.00003",40,3,"variance",2,"Tower level 2",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.002.001.00040.003"
