DPName,Dpdescription,Protocol/C3,table,tableDescription,DPNumber,fieldName,description,dataType,units,replicate,sampleFrequency,horizontal,vertical
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,uid,Unique ID within NEON database; an identifier for the record.,TBD,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,domainID,Unique identifier of the NEON domain,string,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,siteID,NEON site code,string,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,date,"Date or date and time of measurement, observation, or collection event",date,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,mean,The mean of a given measurement stream,string,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,variance,The variance of a given measurement stream,string,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,min,The minimum of a given measurement stream,string,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,max,The maximum of a given measurement stream,TBD,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,identifier,"Identifies the measurement stream (PAR, Temperature)",TBD,NA,1,variable,,
Generic instrument dataproduct,,,a table for instrument data,Standard table for all instrumentation data products,NEON.DOM.SITE.DP1.00001,qualitySum,Summary of the quality of a given measurement,string,NA,1,variable,,
